"Category","Countries","境外移入病例數 (x)","境外移入病例數 (y)"
"Faroe Islands",
"Vietnam",,0,
"United States Minor Outlying Islands",
"United States of America",,1,
"Indonesia",,2,
"Philippines",,3,
"Thailand",,4,
"United Kingdom",,5,
"Malaysia",,6,
"India",,7,
"Federated States of Micronesia",
"Hong Kong",,8,
"Canada",,9,
"Serranilla Bank",
"Singapore",,10,
"Scarborough Reef",
"Australia",,11,
"France",,12,
"Kiribati",
"South Korea",,13,
"Japan",,14,
"Germany",,15,
"United Arab Emirates",,16,
"Bajo Nuevo Bank (Petrel Is.)",
"Cambodia",,17,
"Netherlands",,18,
"Spratly Islands",
"Myanmar",,19,
"Spain",,20,
"Turkey",,21,
"American Samoa",
"Switzerland",,22,
"Italy",,23,
"China",,24,
"Greenland",
"Guam",
"Poland",,25,
"Brazil",,26,
"Northern Mariana Islands",
"Puerto Rico",
"Sweden",,27,
"United States Virgin Islands",
"South Africa",,28,
"Denmark",,29,
"Mexico",,30,
"Sao Tome and Principe",
"Cape Verde",
"Austria",,31,
"Dominica",
"Russia",,32,
"Ireland",,33,
"Jamaica",
"Bangladesh",,34,
"Samoa",
"Mauritius",,35,
"Oman",
"Palau",,36,
"Ukraine",,37,
"Belgium",,38,
"Czech Republic",,39,
"Saint Lucia",
"Pakistan",,40,
"Nauru",
"Argentina",,41,
"Israel",,42,
"Sri Lanka",,43,
"Bahrain",
"Finland",,44,
"Tonga",
"Panama",,45,
"Honduras",,46,
"Latvia",,47,
"New Zealand",,48,
"Solomon Islands",,49,
"Ecuador",,50,
"Hungary",,51,
"Nepal",,52,
"Nigeria",,53,
"Tuvalu",
"Kazakhstan",,54,
"Marshall Islands",
"Laos",,55,
"Paraguay",,56,
"Saudi Arabia",,57,
"Grenada",
"Costa Rica",,58,
"Dominican Republic",,59,
"Antigua and Barbuda",
"Ethiopia",,60,
"Taiwan",
61,,61,
"Barbados",
"Kenya",,62,
"Kyrgyzstan",,63,
"Portugal",,64,
"Vanuatu",
"Egypt",,65,
"Belize",,66,
"Cyprus",
"Colombia",,67,
"Iran",,68,
"Comoros",
"Lithuania",,69,
"Maldives",,70,
"Fiji",
"Malta",,71,
"Vatican",
"Mongolia",,72,
"Norway",,73,
"San Marino",
"Peru",,74,
"Azerbaijan",
"Qatar",,75,
"Tajikistan",
"Romania",,76,
"Lesotho",
"Swaziland",,77,
"Algeria",,78,
"Morocco",
"Cameroon",,79,
"El Salvador",,80,
"East Timor",
"Gambia",,81,
"Greece",,82,
"Iraq",,83,
"Malawi",,84,
"Trinidad and Tobago",,85,
"United Republic of Tanzania",,86,
"Yemen",
"Venezuela",,87,
"Angola",,88,
"Bolivia",,89,
"Bulgaria",,90,
"Belarus",,91,
"Chad",,92,
"Chile",,93,
"Croatia",,94,
"Estonia",,95,
"Mozambique",
"Ghana",,96,
"Guinea",,97,
"Haiti",,98,
"Benin",
"Jordan",,99,
"Kuwait",,100,
"Lebanon",,101,
"Sierra Leone",
"Luxembourg",,102,
"Guinea Bissau",
"Mauritania",,103,
"Nicaragua",,104,
"Papua New Guinea",,105,
"Saint Kitts and Nevis",,106,
"Saint Vincent and the Grenadines",,107,
"Central African Republic",
"Seychelles",,108,
"Sudan",
"Democratic Republic of the Congo",
"Tunisia",,109,
"Uzbekistan",,110,
"North Korea",
"Guyana",
"Gabon",
"Equatorial Guinea",
"Uganda",
"Armenia",
"Somaliland",
"Turkmenistan",
"Zambia",
"Northern Cyprus",
"Eritrea",
"Slovenia",
"Guatemala",
"Bosnia and Herzegovina",
"Syria",
"Monaco",
"Albania",
"Uruguay",
"Cyprus No Mans Area",
"Rwanda",
"Somalia",
"Republic of Congo",
"Western Sahara",
"Republic of Serbia",
"Montenegro",
"Togo",
"Afghanistan",
"Slovakia",
"Siachen Glacier",
"Liechtenstein",
"Niger",
"Andorra",
"Ivory Coast",
"Liberia",
"Brunei",
"Georgia",
"Kosovo",
"Djibouti",
"Burundi",
"Suriname",
"Mali",
"Senegal",
"Zimbabwe",
"Macedonia",
"Burkina Faso",
"Namibia",
"Libya",
"Bhutan",
"Moldova",
"South Sudan",
"Botswana",
"The Bahamas",
"Cuba",
"Madagascar",
"Iceland",
"Macau",
